id,programme_name,programme_name_en,domain,value_eur_m,prime_contractor,country_of_prime,procedure_type,status,track,notes,source
SAFE_RO_1_S_001,Transportoare blindate pentru personal 8x8 Piranha 5,Piranha V 8x8 APCs (139 vehicles),IFV/APC,761.2,General Dynamics European Land Systems (GDELS) / Uzina Mecanica Bucuresti JV,Switzerland/Romania,negotiated single-source,signed-intent,national,Continuation of 2018 GDELS contract; produced at UMB; some to mount Skyranger 35 turret; Elbit Romania UT-30 Mk2 turret on most,MApN list / cursdeguvernare / hotnews
SAFE_RO_1_S_002,Platforme multifunctionale de transport si logistica pe roti,Multifunctional wheeled transport/logistics platforms (1115 units),Logistics/Transport,344.4,IDV (Iveco Defence Vehicles),Italy,negotiated single-source,intent,national,1115 trucks; press-estimate values vary 344.4-471.5,defenseromania / actmedia
SAFE_RO_2_C_003,Post integrat de comanda pentru aparare aeriana si antiracheta,Integrated air-defence/anti-missile command post (2 SBAMD-TC centres),C4ISR/Air Defence C2,160.0,Diehl/Hensoldt (Germany consortium),Germany,joint EU,intent,joint,Joint with Germany; complements Patriot/IRIS-T architecture,actmedia / cursdeguvernare
SAFE_RO_2_S_004,Vedeta de interventie pentru scafandri,Diver intervention vessel (2 units),Naval,84.0,Rheinmetall Naval Systems (NVL),Germany,negotiated single-source,intent,national,Press-estimate values range 57-84,MApN list / Warsight
SAFE_RO_2_S_005,Nava de patrulare maritima (OPV),Offshore Patrol Vessels (2 units),Naval,836.0,Rheinmetall Naval Systems (NVL OPV 90),Germany,negotiated single-source,intent,national,Tied to Mangalia shipyard insolvency; 40% premium vs Bulgaria for same ships,Warsight / defenseromania / MApN list
SAFE_RO_1_C_006,Elicoptere multimisiune H225M,Multi-mission helicopters H225M Caracal (12 units),Air,852.0,Airbus Helicopters,France,joint EU (G2G via DGA),intent,joint,Joint procurement with France via DGA; assembled in France for this batch; FAL in Romania planned post-2030 for follow-on 30 units,Defense Post / Romania Insider / actmedia
SAFE_RO_2_C_007,Sisteme de rachete navale,Naval Strike Missile launch platforms (7 units),Naval/Missiles,207.0,Kongsberg Defence & Aerospace,Norway (SDP country),joint EU,signed-intent,joint,Top-up of existing 2023 coastal NSM order ($217M); Norway as EEA-EFTA fully eligible,USNI / cotidianul / actmedia
SAFE_RO_1_S_008,Armament individual standard NATO si munitie,NATO-standard individual infantry weapons & ammunition,Small arms/Ammo,439.86,unknown,unknown,unknown,intent,national,Press-estimate; supplier not yet identified publicly,cursdeguvernare / euronews.ro
SAFE_RO_1_S_009,Masina de lupta a infanteriei (MLI),Tracked Infantry Fighting Vehicle (Lynx KF41 - 232 via SAFE; 298 total),IFV/APC,2983.6,Rheinmetall Automecanica Medias,Germany,negotiated single-source,signed,national,Selected April 29 2026; no competitive trials; Hanwha Redback excluded at RFI; press values 2.6-3.337bn (SAFE share); total programme up to 298 units,Defense News / Shephard / MILMAG / MApN
SAFE_RO_2_S_010,Sistem integrat de simulare si antrenament in mediu real,Integrated live simulation & training system,Training,94.5,unknown,unknown,unknown,intent,national,Press-estimate; sub-EUR 100M class,cursdeguvernare
SAFE_RO_2_S_011,Platforma software pentru sisteme C4ISR,C4ISR software platform,C4ISR,19.0,unknown,unknown,unknown,intent,national,Press-estimate; smallest of the 21 programmes,cursdeguvernare
SAFE_RO_2_C_012,Sistem portabil de aparare antiaeriana/antiracheta (Mistral),Mistral MANPAD (231 launchers + 934 missiles),Air Defence (MANPAD),625.56,MBDA,France,joint EU (G2G - European Joint Acquisition),signed,joint,Signed Nov 2025 with France; 7-nation joint procurement (Romania Belgium Cyprus Estonia Hungary +2),Defense News / Romania Insider / actmedia
